mobile_prefix,province_name,city_name,isp_code,isp_name
1300284,四川,遂宁,CUCC,中国联通
1300285,四川,达州,CUCC,中国联通
1300286,四川,泸州,CUCC,中国联通
1300287,四川,内江,CUCC,中国联通
1300288,四川,宜宾,CUCC,中国联通
1300289,四川,自贡,CUCC,中国联通
1300290,陕西,西安,CUCC,中国联通
1300291,陕西,西安,CUCC,中国联通
1300292,陕西,西安,CUCC,中国联通
1300293,陕西,西安,CUCC,中国联通
1300294,陕西,西安,CUCC,中国联通
1300295,陕西,西安,CUCC,中国联通
1300296,陕西,西安,CUCC,中国联通
1300297,陕西,西安,CUCC,中国联通
1300298,陕西,西安,CUCC,中国联通
